#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
I605-N,761844,ML,3.082,4,a,7,WARDLOW,R1.03,33.821171,-118.081273
I605-S,737504,ML,3.082,4,d,7,WARDLOW,R1.03,33.821152,-118.081557
SR14-S,764281,HOV,3.092,1,d,7,PLACERITA 1,R27.88,34.375451,-118.49629
SR14-S,764283,ML,3.092,3,d,7,PLACERITA 1,R27.88,34.375451,-118.49629
SR91-W,759981,HOV,3.098,1,d,7,WILMINGTON,R9.1,33.873772,-118.23715
SR91-W,717378,ML,3.098,4,d,7,WILMINGTON,R9.1,33.873772,-118.23715
I105-E,760073,HOV,3.1,1,a,7,HAWTHORNE,R3.1,33.933294,-118.351898
I105-E,760074,ML,3.1,4,a,7,HAWTHORNE,R3.1,33.933294,-118.351898
SR91-E,759996,HOV,3.108,1,a,7,WILMINGTON,R9.11,33.87359,-118.236964
SR91-E,717379,ML,3.108,4,a,7,WILMINGTON,R9.11,33.87359,-118.236964
SR57-N,1213103,HOV,3.166,1,a,12,Wagner,13.9,33.825188,-117.875981
SR57-N,1213105,ML,3.166,4,a,12,Wagner,13.9,33.825188,-117.875981
SR22-E,1215235,HOV,3.197,1,a,12,SPRINGDALE CENSUS,R1.74,33.774214,-118.023517
SR22-E,1215236,ML,3.197,3,a,12,SPRINGDALE CENSUS,R1.74,33.774214,-118.023517
SR22-E,1214857,HOV,3.207,1,a,12,SPRINGDALE,R1.75,33.774214,-118.023344
SR22-E,1202595,ML,3.207,3,a,12,SPRINGDALE,R1.75,33.774214,-118.023344
SR57-S,1213104,HOV,3.251,1,d,12,Wagner,13.9,33.825192,-117.876256
SR57-S,1213106,ML,3.251,5,d,12,Wagner,13.9,33.825192,-117.876256
SR14-N,764274,HOV,3.262,1,a,7,PLACERITA 1,R28.05,34.377099,-118.494004
SR14-N,764276,ML,3.262,3,a,7,PLACERITA 1,R28.05,34.377099,-118.494004
I105-W,760424,HOV,3.3,1,d,7,IMPERIAL 3,R3.3,33.932736,-118.3484
I105-W,760426,ML,3.3,3,d,7,IMPERIAL 3,R3.3,33.932736,-118.3484
SR14-S,764288,HOV,3.332,1,d,7,SIERRA HWY,R28.12,34.377963,-118.493391
SR14-S,764290,ML,3.332,3,d,7,SIERRA HWY,R28.12,34.377963,-118.493391
SR134-E,773871,HOV,3.4,1,a,7,PARISH PL,3.4,34.154966,-118.317908
SR134-W,773872,HOV,3.4,1,d,7,PARISH PL,3.4,34.155158,-118.317885
SR134-E,773869,ML,3.4,4,a,7,PARISH PL,3.4,34.154966,-118.317908
SR134-W,773870,ML,3.4,4,d,7,PARISH PL,3.4,34.155158,-118.317885
SR14-N,764267,HOV,3.482,1,a,7,PLACERITA 2,R28.27,34.379368,-118.491328
SR14-N,764269,ML,3.482,3,a,7,PLACERITA 2,R28.27,34.379368,-118.491328
SR22-E,1214868,HOV,3.527,1,a,12,YUMA,R2.07,33.774209,-118.0178
SR22-W,1214870,HOV,3.527,1,d,12,YUMA,R2.07,33.774371,-118.017789
SR22-E,1214869,ML,3.527,3,a,12,YUMA,R2.07,33.774209,-118.0178
SR22-W,1214871,ML,3.527,3,d,12,YUMA,R2.07,33.774371,-118.017789
I105-E,760085,HOV,3.6,1,a,7,IMPERIAL 3,R3.6,33.930073,-118.344285
I105-E,760080,ML,3.6,3,a,7,IMPERIAL 3,R3.6,33.930073,-118.344285
I405-S,1209046,HOV,3.61,1,d,12,JEFFREY 1,3.84,33.66293,-117.793047
I405-S,1201171,ML,3.61,4,d,12,JEFFREY 1,3.84,33.66293,-117.793047
I405-N,1201183,HOV,3.63,1,a,12,JEFFREY 1,3.86,33.663379,-117.793258
I405-N,1201185,ML,3.63,4,a,12,JEFFREY 1,3.86,33.663379,-117.793258
SR57-N,1213120,HOV,3.666,1,a,12,South,14.4,33.83238,-117.875965
SR57-N,1213122,ML,3.666,4,a,12,South,14.4,33.83238,-117.875965
SR91-W,759982,HOV,3.668,1,d,7,ACACIA,R9.67,33.874114,-118.227251
SR91-W,717380,ML,3.668,4,d,7,ACACIA,R9.67,33.874114,-118.227251
SR170-N,765610,HOV,3.686,1,a,7,OXNARD,R16.6,34.178805,-118.394742
SR170-S,761061,HOV,3.686,1,d,7,OXNARD,R16.6,34.178734,-118.394967
SR170-N,764424,ML,3.686,4,a,7,OXNARD,R16.6,34.178805,-118.394742
